dapp_id,address
tether,0xdAC17F958D2ee523a2206206994597C13D831ec7
usd-coin,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
1inch-network,0x0000000000004946c0e9F43F4Dee607b0eF1fA1c
uniswap-v3,0xE592427A0AEce92De3Edee1F18E0157C05861564
metamask,0x881D40237659C251811CEC9c364ef91dC08D300C
uniswap-v3,0xC36442b4a4522E871399CD717aBDD847Ab11FE88
polygon-(matic),0xA0c68C638235ee32657e8f720a23ceC1bFc77C77
bulksender-app,0xd1917932A7Db6Af687B523D5Db5d7f5c2734763F
axie-infinity,0x1A2a1c938CE3eC39b6D47113c7955bAa9DD454F2
opensea,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b
tornado-cash,0x722122dF12D4e14e13Ac3b6895a86e84145b6967
uniswap-v2,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D
compound,0x35A18000230DA775CAc24873d00Ff85BccdeD550
paraswap-p4,0x1bD435F3C054b6e901B7b108a0ab7617C808677b
wrapped-ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
1inch-exchange,0x11111254369792b2ca5d084ab5eea397ca8fa48b
1inch-network-v2,0x111111125434b319222cdbf8c261674adb56f3ae
1inch-v3,0x11111112542D85B3EF69AE05771c2dCCff4fAa26
paraswap-v2,0x9509665d015bfe3c77aa5ad6ca20c8afa1d98989
paraswap-v1,0x86969d29F5fd327E1009bA66072BE22DB6017cC6
paraswap-v3,0xf90e98f3d8dce44632e5020abf2e122e0f99dfab
furucombo,0x57805e5a227937bac2b0fdacaa30413ddac6b8e1
furucombo,0x17e8ca1b4798b97602895f63206afcd1fc90ca5f
vyper-contract,0x5F07257145fDd889c6E318F99828E68A449A5c7A
dex-ag,0x745daa146934b27e3f0b6bff1a6e36b9b90fb131
zerion,0xb2be281e8b11b47fec825973fc8bb95332022a54
eth2-deposit-contract,0x00000000219ab540356cBB839Cbe05303d7705Fa
sushiswap,0xf1f85b2c54a2bd284b1cf4141d64fd171bd85539
sushiswap,0x088ee5007c98a9677165d78dd2109ae4a3d04d0c
sushiswap,0xd9e1cE17f2641f24aE83637ab66a2cca9C378B9F
uniswap-v2,0xf164fC0Ec4E93095b804a4795bBe1e041497b92a
0x,0x61935CbDd02287B511119DDb11Aeb42F1593b7Ef
dydx,0x1e0447b19bb6ecfdae1e4ae1694b0c3659614e4e
balancer,0x3E66B66Fd1d0b02fDa6C811Da9E0547970DB2f21
vyper-contract,0x7D86446dDb609eD0F5f8684AcF30380a356b2B4c
compound,4Ddc2D193948926D02f9B1fE9e1daa0718270ED5
compound,3d9819210A31b4961b30EF54bE2aeD79B9c9Cd3B
uniswapanchoredview,922018674c12a7F0D394ebEEf9B58F186CdE13c1
aave,398eC7346DcD622eDc5ae82352F02bE94C62d119
aave,3dfd23a6c5e8bbcfc9581d2e864a68feb6a076d3
