dapp_id,name
aave,Aave
alex,Aleph.im
first,Fireball
0x,0x
0xbitcoin,0xBitcoin
0xcert,0xcert
0xethereumtoken,_0xEthereumToken
0xmonerotoken,_0xMoneroToken
10x-gg,10x.gg
1ai-io,1AI.io
1hive,Chain
1inch-network,1inch Network
1inch-network-v2,1inch Network v2
1inch-v3,1inch V3
1inch-exchange,1inch.exchange
1irstcoin,FlashSwap
1million-token,1Million Token
1worldtoken,1WorldToken
2+2=4+4=8,2+2=4+4=8
22x-fund,22x Fund
2key-network,2key Network
300-token,300 Token
4artechnologies,4ARTechnologies
4thtech,LockedToken
a1coin,A1Coin
aaa,Aaa
aaatoken,AAAToken
ab-chain,AB-CHAIN
abatoken,ABAToken
abbc-cash,ABBC Cash
abcc,ArtFinity
abeletoken,BANG
abit-network,ABiT Network
abitshadowtoken,abitshadowToken
able-x,Polygon (Matic)ABLE X
abptcrypto,ABPTCrypto
abyss,ABYSS
academytoken,AcademyToken
acash-corp,Acash Corp
acbtc,acBTC
acceleratortoken,AcceleratorToken
accord,ArbitrageCT
acctoken,ACCToken
acdx,AceWins
ace,Ace
ace-entertainment,ACE Entertainment
acedbets,AceDBets
acewins,Archetypal.network
ach-token,ACH_TOKEN
acoin,Acoin
acuteanglecoin,AcuteAngleCoin
adbank,Aave
addc,Advertise Coin
adelphoi,AditusToken
adex,ADVC
adhivetoken,Akropolis
aditustoken,AdHiveToken
adminupgradeabilityproxy,Bitcoin2X
adshares,Adelphoi
advancedtoken,BitCEOToken
advancedtokengamehub,GGCoin
advc,Metax.io
advertise-coin,AfricaDigitalCoin
advertisingtoken,AventusToken
aegis,AgriChainToken
aelf,EchoLinkToken
aenco,Aeternity
aergo,AerToken
aeron,Armor.fi
aertoken,AToken
aerumtoken,AerumToken
aeternity,AdEx
africadigitalcoin,TokenDemo
africunia-blockchain-technology,TokenERC20
afriunioncoin,Auctus
afrodex,Africunia Blockchain Technology
aga-platform,Asian Fintech
agavecoin,Gold and Silver Standard
agbc,Aga Platform
agrello,Dalong Token
agrichaintoken,LuaToken
agricoin,SingularityNET
agrotechfarmtoken,ATCCOIN
ahttoken,AgaveCoin
ai-doctor,AidCoin
ai-mining,AI-Doctor
aidcoin,PolyAi
aigang,AIVIA
aigathatoken,BiotechToken
