dapp,contract,address
Tether,Tether: USDT Stablecoin,0xdAC17F958D2ee523a2206206994597C13D831ec7
USD Coin,USD Coin,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
1inch Network,1inch Network: CHI Token,0x0000000000004946c0e9F43F4Dee607b0eF1fA1c
Uniswap V3,Uniswap V3: Router,0xE592427A0AEce92De3Edee1F18E0157C05861564
Metamask,Metamask: Swap Router,0x881D40237659C251811CEC9c364ef91dC08D300C
Uniswap V3,Uniswap V3: Positions NFT,0xC36442b4a4522E871399CD717aBDD847Ab11FE88
Polygon (Matic),Polygon (Matic): Bridge,0xA0c68C638235ee32657e8f720a23ceC1bFc77C77
Bulksender.app,Bulksender.app,0xd1917932A7Db6Af687B523D5Db5d7f5c2734763F
Axie Infinity,Axie Infinity: Ronin Bridge,0x1A2a1c938CE3eC39b6D47113c7955bAa9DD454F2
OpenSea,OpenSea,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b
Tornado.Cash,Tornado.Cash: Proxy,0x722122dF12D4e14e13Ac3b6895a86e84145b6967
Uniswap V2,Uniswap V2: Router 2,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D
Compound,Compound: cUNI Token,0x35A18000230DA775CAc24873d00Ff85BccdeD550
ParaSwap P4,ParaSwap P4,0x1bD435F3C054b6e901B7b108a0ab7617C808677b
Wrapped Ether,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
1inch.exchange,1inch.exchange,0x11111254369792b2ca5d084ab5eea397ca8fa48b
1inch Network v2,1inch Network v2,0x111111125434b319222cdbf8c261674adb56f3ae
1inch V3,1inch V3,0x11111112542D85B3EF69AE05771c2dCCff4fAa26
ParaSwap V2,ParaSwap V2,0x9509665d015bfe3c77aa5ad6ca20c8afa1d98989
ParaSwap V1,ParaSwap V1,0x86969d29F5fd327E1009bA66072BE22DB6017cC6
ParaSwap V3,ParaSwap V3,0xf90e98f3d8dce44632e5020abf2e122e0f99dfab
Furucombo,Furucombo: Proxy v0.4.1,0x57805e5a227937bac2b0fdacaa30413ddac6b8e1
Furucombo,Furucombo: Proxy v1.0.0,0x17e8ca1b4798b97602895f63206afcd1fc90ca5f
Vyper_contract,Vyper_contract,0x5F07257145fDd889c6E318F99828E68A449A5c7A
DEX.AG,DEX.AG: Proxy Contract,0x745daa146934b27e3f0b6bff1a6e36b9b90fb131
Zerion,Zerion: DeFi SDK v1.0,0xb2be281e8b11b47fec825973fc8bb95332022a54
Eth2 Deposit Contract,Eth2 Deposit Contract,0x00000000219ab540356cBB839Cbe05303d7705Fa
SushiSwap,SushiSwap: sUSD,0xf1f85b2c54a2bd284b1cf4141d64fd171bd85539
SushiSwap,SushiSwap: YFI,0x088ee5007c98a9677165d78dd2109ae4a3d04d0c
SushiSwap,SushiSwap: Router,0xd9e1cE17f2641f24aE83637ab66a2cca9C378B9F
Uniswap V2,Uniswap V2: Router,0xf164fC0Ec4E93095b804a4795bBe1e041497b92a
0x,0x: Exchange v3,0x61935CbDd02287B511119DDb11Aeb42F1593b7Ef
dYdX,dYdX: Solo Margin,0x1e0447b19bb6ecfdae1e4ae1694b0c3659614e4e
Balancer,Balancer: Exchange Proxy 2,0x3E66B66Fd1d0b02fDa6C811Da9E0547970DB2f21
Vyper_contract,Vyper_contract,0x7D86446dDb609eD0F5f8684AcF30380a356b2B4c
Compound,Compound: cETH Token,4Ddc2D193948926D02f9B1fE9e1daa0718270ED5
Compound,Compound: Comptroller,3d9819210A31b4961b30EF54bE2aeD79B9c9Cd3B
UniswapAnchoredView,UniswapAnchoredView,922018674c12a7F0D394ebEEf9B58F186CdE13c1
Aave,Aave: Lending Pool V1,398eC7346DcD622eDc5ae82352F02bE94C62d119
Aave,Aave: Lending Pool Core V1,3dfd23a6c5e8bbcfc9581d2e864a68feb6a076d3
Solana,Solana: Wormhole Bridge,0xeae57ce9cc1984F202e15e038B964bb8bdF7229a
1inch Network,1inch Network: 1INCH Token,0x111111111117dC0aa78b770fA6A738034120C302
Skale Network,Skale Network: SKL Token,0x00c83aeCC790e8a4453e5dD3B0B4b3680501a7A7
Matic Token,Matic Token,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0
PerlinX,PerlinX: PERL Token,0xeca82185adCE47f39c684352B0439f030f860318
Furucombo,Furucombo: Proxy v1.5.1,0xEFA99fa2703430A38D095a29f6dC32dD9FDC5a01
Gitcoin,Gitcoin: GTC Token,0xDe30da39c46104798bB5aA3fe8B9e0e1F348163F
Dai Stablecoin,Dai Stablecoin,0x6B175474E89094C44Da98b954EedeAC495271d0F
FTX,FTX: FTT Token,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9
0x,0x: Exchange Proxy,0xDef1C0ded9bec7F1a1670819833240f027b25EfF
Furucombo,Furucombo: COMBO Token,0xfFffFffF2ba8F66D4e51811C5190992176930278
Shiba Inu,Shiba Inu: SHIB Token,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE
Curve.fi,Curve.fi: CRV Token,0xD533a949740bb3306d119CC777fa900bA034cd52
Celsius Network,Celsius Network: CEL Token,0xaaAEBE6Fe48E54f431b0C390CfaF0b017d09D42d
Binance USD,Binance USD,0x4Fabb145d64652a948d72533023f6E7A623C7C53
ForwarderFactory,ForwarderFactory,0xFfa397285Ce46FB78C588a9e993286AaC68c37cD
Island Coin,Island Coin: ISLE Token,0x1681bcB589b3cFCF0c0616B0cE9b19b240643dc1
0xBitcoin,0xBitcoin: 0xBTC Token,0xb6ed7644c69416d67b522e20bc294a9a9b405b31
_0x,_0x,0x8e9c3d1f30904e91764b7b8bbfda3a429b886874
_0xMoneroToken,_0xMoneroToken,0x035df12e0f3ac6671126525f1015e47d79dfeddf
RebalancingSetTokenV3,RebalancingSetTokenV3,0x54355ae0485f9420e6ce4c00c10172dc8e5728a3
EightteenToken,EightteenToken,0x5a9bf6badcd24fe0d58e1087290c2fe2c728736a
1AI.io,1AI.io: 1AI Token,0x208bbb6bcea22ef2011789331405347394ebaa51
1inch Network,1inch Network: 1INCH Token,0x111111111117dc0aa78b770fa6a738034120c302
1Million Token,1Million Token: 1MT Token,0xf0bc1ae4ef7ffb126a8347d06ac6f8add770e1ce
Mars Blockchain Group,Mars Blockchain Group: 1SG Token,0x0f72714b35a366285df85886a2ee174601292a17
FirstBlood,FirstBlood,0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7
Uptrennd Token,Uptrennd Token,0x07597255910a51509ca469568b048f2597e72504
1WorldToken,1WorldToken,0xfdbc1adc26f0f8f8606a5d63b7d3a3cd21c22b23
2+2=4+4=8,2+2=4+4=8: 2248 Token,0x8832e23b1135f78ad08a044c2550489eea1e1098
22x Fund,22x Fund: 22X Token,0x0073e5e52e2b4fe218d75d994ee2b3c82f9c87ea
HexelErc20Token,HexelErc20Token,0x9fc0583220eb44faee9e2dc1e63f39204ddd9090
2key Network,2key Network: 2KEY Token,0xe48972fcd82a274411c01834e2f031d4377fa2c0
300 Token,300 Token: 300 Token,0xaec98a708810414878c3bcdf46aad31ded4a4557
Curve.fi,Curve.fi: 3Crv Token,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490
TrillionToken,TrillionToken,0x430241368c1d293fda21dba8bb7af32007c59109
4ARTechnologies,4ARTechnologies: 4Art Token,0xff44b5719f0b77a9951636fc5e69d3a1fc9e7d73
HumanStandardToken,HumanStandardToken,0x62d75a2a10f755104bd1024d997141ce793cf585
TokenMintERC20Token,TokenMintERC20Token,0x02fdd6866333d8cd8b1ca022d382080698060bc2
Eleven,Eleven,0x186a33d4dbcd700086a26188dcb74e69be463665
HumanStandardToken,HumanStandardToken,0xffc63b9146967a1ba33066fb057ee3722221acf0
A1Coin,A1Coin,0xbac6874fff7ac02c06907d0e340af9f1832e7908
Apollo18,Apollo18: A18 Token,0xba7dcba2ade319bc772db4df75a76ba00dfb31b0
Aaa,Aaa,0xd938137e6d96c72e4a6085412ada2dad78ff89c4
AAAToken,AAAToken,0x6aba1623ea906d1164cbb007e764ebde2514a2ba
AcuteAngleCoin,AcuteAngleCoin: AAC Token,0xe75ad3aab14e4b0df8c5da4286608dabb21bd864
APPLEPROTOCOL,APPLEPROTOCOL,0xd059c8a4c7f53c4352d933b059349ba492294ac9
TokenERC20,TokenERC20,0x9f31fab2405dfba05a487ebce88f3abd26f1cba6
Aave,Aave: AAVE Token,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9
ERC20Token,ERC20Token,0xdaf76716996052aff7edb66ef0edb301bf001b6f
ABAToken,ABAToken,0x7c2af3a86b4bf47e6ee63ad9bde7b3b0ba7f95da
Aave,Aave: aBAT Token V1,0xe1ba0fb44ccb0d11b80f92f4f8ed94ca3ff51d00
ArmBlockchainBank,ArmBlockchainBank: ABB Token,0xc1c7883ea017b083b6167040dbb9c156a8e6b9e9
