"hash","number","mined_at","tips","base_fee_sum","contract_creation_sum","eth_transfer_sum","gas_used","base_fee_per_gas","eth_price"
"0x6a1659598124b56ca3ed5c2dce6a2d11ec562be9f888bbc316e424ce706cb8a1",13666568,"2021-11-22 20:17:48+00",7.697232233923181E+17,5.123886705850538E+18,0,2.4152610617597734E+17,28066954,182559415099,4069.83314813
"0xc6d9c60352803e56e5009eb10db87d6d70e742b666df5571c102f230ae578c26",13666569,"2021-11-22 20:17:54+00",4.006023802859119E+16,1.7293537614955046E+17,0,6.8033456177904E+16,854084,202480524339,4069.83314813
"0xaf76958392f6ef71e78e2d7fceee89ba090fef95b4221ed758568ffcfefc33a3",13666570,"2021-11-22 20:17:56+00",1.7540782822267747E+17,9.56745785591242E+17,0,6.7516248420558E+16,5356487,178614413811,4069.83314813
"0x408d1133f3025c366b95fe08f4ebfb4149a1dada5730bc242c02501027a48bf1",13666571,"2021-11-22 20:18:03+00",3.8012593237195034E+17,4.551293856040812E+18,0,3.898087702291237E+17,27706458,164268339751,4070.1059467
"0x882572196eaf5beb3c0ba339737580fb245fa7690c9c3267ee68b7514468d8fa",13666572,"2021-11-22 20:18:26+00",1.6025372456317166E+18,1.5511905473163333E+18,0,2.1372233760864E+17,8535374,181736681640,4070.1059467
"0x8ed1535cf56886de1d930a02a2645ee57bf62d9bc628ec9ae034202097374f9b",13666573,"2021-11-22 20:18:35+00",7.274459310038621E+17,1.0050074775522472E+18,0,9.751500011673E+16,5843606,171984127190,4070.1059467
"0x209a42998b3acd7c0d3e156fd85cf2fbc270444e0970fe9c80bd826deb87c240",13666574,"2021-11-22 20:18:40+00",5.3364563259259296E+17,2.5373550589111864E+18,0,2.6691430434144E+17,15970506,158877562108,4070.1059467
"0xbae4e6bc7709ccfc28caee8b50fc614efabe6aab5efdcc8246fb7d2ddd1cd11a",13666575,"2021-11-22 20:18:50+00",3.876697771145644E+17,4.796442770340424E+18,0,4.104953156719372E+17,29935753,160224557249,4070.1059467
"0x1d04fb41796c740b87f3715a71aa9b88d217d22154b83f94037fec9cf1c80a8f",13666576,"2021-11-22 20:19:22+00",6.473134947704305E+17,4.948766153697181E+18,0,4.995955585550145E+17,27458170,180229277978,4074.292578377932
"0x757e004e715ed4cbfcf67e060f444de083a0da12dedfabee35ac873a381b314f",13666577,"2021-11-22 20:20:04+00",24898599903412916,1.4677004956752504E+18,0,6.6884625479616E+16,7373105,199061385356,4074.292578377932
"0xb21e0be1c0d1a3083d59f2511735acb8e5b5a812d3ba56cfb712a9b2d1c9640a",13666578,"2021-11-22 20:20:10+00",3.965297076485229E+16,2.6434317503911286E+18,0,2.1535834410667472E+17,14177132,186457440785,4074.292578377932
"0xe967107c5ae5135d6a22fb57ce9a50f59ea203fc6320577d3f7d6f72b188110e",13666579,"2021-11-22 20:20:11+00",5.664612206349976E+16,9.11353204420411E+17,0,1.24483659125952E+17,4919757,185243540366,4074.292578377932
"0x4fc9f4c1bc668f6dfad13c372ddcc51ed5b4ab5a3bcff2a7e2d7013b5fc7b947",13666580,"2021-11-22 20:20:27+00",1.2217035171515086E+17,1.7627663944015148E+18,0,9.622273499489706E+16,10387239,169704999991,4074.292578377932
"0xb030a218fb653641e3b3aef8804eab21cdeba6abd4e7d1fbbc4569b06f1a4698",13666581,"2021-11-22 20:20:29+00",9.621792961987506E+16,1.1357714538221859E+18,0,8.56854285567E+16,6958943,163210340108,4074.292578377932
"0x86d2a097ff61486afebcb8f250c513227ea93eb804681594403f0a5edcca4d18",13666582,"2021-11-22 20:20:34+00",3.145820176876389E+17,2.1844770135721948E+18,0,1.566992883969872E+17,14344844,152283079103,4074.292578377932
"0x43609e5f8fdbecd7f87b8ac306262dbd20c946fe490450e263806995e1c918a3",13666583,"2021-11-22 20:20:41+00",3.0015331279359616E+18,2.8767786515764823E+18,0,2.0355111371481574E+17,18994691,151451721514,4074.292578377932
"0xc0aee1941a620733d67e271c30aba95098a30a821dfbc869d762235b57774ea5",13666584,"2021-11-22 20:20:58+00",5.951324030115068E+17,4.2620990080806605E+18,0,4.2065429079475066E+17,27235006,156493411754,4074.292578377932
"0x47b1d05eec941a2b2a20254826f75bed2b2e1373bdba988d966f121932341617",13666585,"2021-11-22 20:21:28+00",2.187379212468307E+17,3.491297722277552E+18,0,5.32457938017432E+17,20241291,172483944936,4075.07447771
"0x5d3e9158fa4f6224158ba08a54480a18a605411b5276e8dd8a1641f842d4f64d",13666586,"2021-11-22 20:21:47+00",3.6244532599957754E+17,2.8250009002115866E+18,0,2.6470952132394048E+17,15687956,180074504302,4075.07447771
"0x329d2422d30573dbde2f4bfa7f8b83b6b0b6d982ebb52fb123ffc47bda026582",13666587,"2021-11-22 20:22:04+00",24343042094859264,6.721534937128308E+17,0,3.0429823057032E+16,3710892,181129899149,4076.65523413
