"hash","number","mined_at","tips","base_fee_sum","contract_creation_sum","eth_transfer_sum","gas_used","base_fee_per_gas","eth_price"
"0x1a0a1bc4da2d493b92e19ea1dab9927327f22399236922710fe2a3b85e61d977",13666164,"2021-11-22 18:48:23+00",0,0,0,0,0,115272558330,4171.9278571
"0x6aa07d4c7e59b2b93ce0711c67edfa263d0ca5d2ec130a39af3caa4966e0e71a",13666165,"2021-11-22 18:48:24+00",4.678517840571722E+17,2.868590697273401E+18,0,4.215085186044803E+17,28440328,100863488539,4171.9278571
"0xd93d85372262a746daddb5b912345d266f4878ea6a5873d2b481be7853a76d5b",13666166,"2021-11-22 18:48:58+00",8.297568256632611E+16,2.6925675508084337E+18,1.7099480077490202E+17,1.2488669887472083E+17,23996372,112207276617,4171.9278571
"0x426eb2966e3870d4ad639219ee42b3a9f532ae20a1a02436c456ef9d6a292b42",13666167,"2021-11-22 18:49:02+00",2.175232731847678E+17,1.9381123720062674E+18,0,1.9507718801848166E+17,16065065,120641427346,4171.9278571
"0x2e6f96b7b00cf6fdf2c0953b757e939137f7ea44f9c1682b2e1c2cc15d4c17b2",13666168,"2021-11-22 18:49:21+00",1.6427393639682618E+17,2.3558605438118497E+18,0,2.555957181414007E+17,19355986,121712246734,4171.9278571
"0x89e2bdd23aa45126e5875721e3e96ba2b88119a5fd4177ea4bd17f2058acf6c1",13666169,"2021-11-22 18:49:49+00",3.2162521191019366E+17,2.678495314333821E+18,0,2.8341497979122918E+17,21235924,126130387090,4171.9278571
"0x0bdea53cdbf59f179283432677dd8121526b67178069a0eb5fc0365dda942708",13666170,"2021-11-22 18:50:14+00",3.233902545331824E+17,3.1102988499414815E+18,0,2.3684251613536454E+17,23441245,132684882989,4171.9278571
"0x806acb44f82225fda466e39c0c0a69d850b3cfd9868bbb1810ca2116cbdb8db7",13666171,"2021-11-22 18:50:39+00",2.34365449609917E+17,4.250372157788669E+18,0,3.5788644283895885E+17,29928314,142018429698,4171.9278571
"0x126ea52d58eb694bc02279820eb3ba721476cab14ecbb9b9577aa94515eec518",13666172,"2021-11-22 18:51:16+00",2.1750074314188442E+17,2.1256390545057213E+18,0,3.9914157038613824E+17,13308491,159720516361,4171.9278571
"0x1cea3634204f4d6d379ab99f0eaa63574dc82f48ef5ec5d86f29fd0dcda8ce3a",13666173,"2021-11-22 18:51:42+00",1.2397348059998893E+17,1.1050657395590022E+18,0,9.920555009630995E+16,7017666,157469127137,4171.9278571
"0x27492a8e348941006b7841ec1be5b142ee220039b89d46a2a63e5b3243fc565f",13666174,"2021-11-22 18:51:53+00",0,0,0,0,0,148333088206,4171.9278571
"0xb7b412c608227229bcfa3301e82374327b8f9fd9381fd1cfe69d22b5f4209ccb",13666175,"2021-11-22 18:51:54+00",2.006729057250801E+17,3.040029775601846E+18,0,2.0442153718507462E+17,23422419,129791452181,4171.9278571
"0x7ab964f5ed2977e6d687315460a4fa88b33b1f4cb44c35c704e1fd67a648a3a3",13666176,"2021-11-22 18:51:57+00",4.792876272264627E+17,4.157591890939208E+18,0,4.4053406940001037E+17,29926684,138925912772,4171.9278571
"0xaa5d3123b167116d86d70aa617a342a9c938401e19a2d2865739853e4de23489",13666177,"2021-11-22 18:52:34+00",1.119892984249232E+16,4.430876592247307E+17,0,4.2644475449121E+16,2836544,156206869777,4171.9278571
"0x31928b7d22a766014ad93c56a1196e9186128e568bb62126efa74d367000ed74",13666178,"2021-11-22 18:52:38+00",2.593706631104015E+17,3.361989449997911E+18,0,2.26983801085272E+17,23950330,140373408216,4171.9278571
"0x096d243355dd6691894dd079fee8f46e1cb241dd38f60377bf02aeddc330bbac",13666179,"2021-11-22 18:53:16+00",6.607580713657696E+16,1.3214949550975788E+18,0,2.2490737660855763E+17,8760713,150843310938,4171.9278571
