"hash","number","mined_at","tips","base_fee_sum","contract_creation_sum","eth_transfer_sum","gas_used","base_fee_per_gas","eth_price"
"0x463331d9c8209a1020678f9591534717c0652e19c3134172a69bb68d3892c552",13660499,"2021-11-21 21:16:12+00",1.0881267755677723e+17,5.686057482766485e+17,0,9.993449960923808e+16,4062506,139964285167,4373.11470825
"0x979bb3c94677a21e8964b09e827c40d128d0f89410a59a723d8316aa3f278da4",13660500,"2021-11-21 21:16:31+00",2.947354768568175e+17,3.80366272385877e+18,7.231196197744006e+17,2.912195915664204e+17,29896972,127225684389,4373.11470825
"0xc40be76bcf477f4334269d6e96ab4d9793c728686a70d55e0e61483749ba11f6",13660501,"2021-11-21 21:16:56+00",3.784652564162472e+16,1.620986423006467e+17,0,3.9069776516316e+16,1132664,143112734492,4373.11470825
"0xe7e350036ca3b7f1d1221eebaeb3e8ad42b1e475cf4ad0074d33d7f3a881aba0",13660502,"2021-11-21 21:16:57+00",4.315452472937867e+16,2.4812556040556538e+17,0,3.7214448072312e+16,1960231,126579755348,4373.11470825
"0xebdebfc63365d650bbf78b001a9ebfa1b7dcfd13501ebff0c1bcbdef99117d08",13660503,"2021-11-21 21:17:04+00",4.1174895147555366e+17,3.060325015577895e+18,0,5.544718107708796e+17,27122095,112835126327,4373.11470825
"0x903dbf5b660f97291e6c19ef7a71eaeb895eb74abe750e44eff8576dbecfb9ab",13660504,"2021-11-21 21:17:16+00",5.826794106708885e+16,3.719040955110365e+18,0,9.921801508512592e+16,29911853,124333352237,4373.11470825
"0x6ce97d5f752b8b4aad9db2ea7d60d5b1bd8124ab779c25d3f24e42bd760d5bb6",13660505,"2021-11-21 21:17:19+00",2.7556101226343044e+16,1.9316279160998057e+18,0,7.637161352566202e+16,13809697,139874750047,4373.11470825
"0xeb23ac5b9efbc82aa14874b01dfe3c6ed61d9e3a95d6f294c7b16d2479b94be7",13660506,"2021-11-21 21:17:23+00",1.7748007240668483e+17,2.2388529118251822e+18,0,2.4728417912562e+17,16160971,138534554132,4373.11470825
"0xfd4f143964349055e2c50ca2c73db3c1273f497a63a48273e2b85892779e1ee0",13660507,"2021-11-21 21:17:44+00",2.861669946381491e+17,3.927964451628934e+18,0,4.52473309444464e+17,28074666,139911351096,4373.11470825
"0x4589ddd84ea7674d044634e01d0312d2a6aabb0f2823b2c1125befb15d536ed7",13660508,"2021-11-21 21:18:13+00",3.9911281372700376e+16,3.7178074021505504e+17,0,4.2366194782002e+16,2395687,155187526674,4373.11470825
