"hash","number","mined_at","tips","base_fee_sum","contract_creation_sum","eth_transfer_sum","gas_used","base_fee_per_gas","eth_price","base_fee_sum_256"
"0x9b83c12c69edb74f6c8dd5d052765c1adf940e320bd1291696e6fa07829eee71",12965000,"2021-08-05 14:33:42+02",813216092377312510,30025257000000000,0.0,630000000000000,30025257,1000000000,2616.756413909,30025257000000000
"0xa32d159805750cbe428b799a49b85dcb2300f61d806786f317260e721727d162",12965001,"2021-08-05 14:33:55+02",926794726479924480,33732322138036368,0.0,992221619004000,29985144,1124967822,2616.756413909,33732322138036368
"0xfcb92039b16c0075d4c6c57cb55ba8c661914325bb7626416f48e9aa735ce2b5",12965002,"2021-08-05 14:34:14+02",712779447436169600,37900704108787400,0.0,2179107346962000,29950343,1265451421,2614.979298474,37900704108787403
"0x6fc26021db56beee14e3d3e303344ecfbc5d84f7147e99be9a7a977c042a48cd",12965003,"2021-08-05 14:34:17+02",965993480159552900,42608506437330328,3308005430775136,986430097422000,29933895,1423420054,2614.979298474,42608506437330330
"0xf615c1d20904f1be47dff7068b625a91f52d02691b38165154dbb7cc9cc5c735",12965004,"2021-08-05 14:34:28+02",1400710115140656640,47870130183908296,378329773916240,941541063456000,29895283,1601260312,2614.979298474,47870130183908296
"0xb0992527aeec5c4e7b9e8fb2d2333d09595ded4957c081ea60533cc0a9f4d410",12965005,"2021-08-05 14:35:00+02",1261016674407907580,53808978566108816,0.0,1134752315760000,29874058,1801194152,2609.412279983,53808978566108816
"0xe108b94f5371cd5b7e1ec9a93aa24840134f927aca757bdcee0b3930b279a3d3",12965006,"2021-08-05 14:35:25+02",1188015935000901120,60588342518792384,0.0,1531816173720000,29902274,2026211870,2609.412279983,60588342518792380
"0xcdaaf867b4b1bcd226658a9663d3498577fc0cc20e448be92ea9dec822e0d288",12965007,"2021-08-05 14:35:50+02",801822117804502910,68079772399306064,0.0,526523879574000,29868403,2279324154,2609.412279983,68079772399306062
"0x24796f6a555ae3bae2f4368261d79046b3150f60e1175a478b3682a4e0b7d2c1",12965008,"2021-08-05 14:35:52+02",677476534417872510,76540712576659568,0.0,2099888072919000,29852469,2563965901,2609.412279983,76540712576659569
"0x6e7bccfafa33c8b6f4dec6230a7e4511273e907686ad2bcf73eb332ac35d616c",12965009,"2021-08-05 14:35:56+02",778923279133867780,85991851463205696,0.0,4724709090192000,29812344,2884437784,2609.412279983,85991851463205696
"0x73fa2ac437da249f4452a6a013b89c516a18affb9a2129f5f83943b360679892",12965010,"2021-08-05 14:36:10+02",889047356092922620,96804203552042704,0.0,2998103108616000,29834559,3244700334,2614.635172169,96804203552042706
"0x1a0ff711876af31cf435c74aea95296e25f11506fa7820741d59484dd0a33dbf",12965011,"2021-08-05 14:36:12+02",1246286607939931140,108841691662152304,0.0,2989163105019000,29821506,3649771801,2614.635172169,108841691662152306
"0x2d7f376efe8b0acd9994a5d18682301fbb8865f7455be03224152a2d80eafd31",12965012,"2021-08-05 14:36:56+02",875362122715948540,122320326015387584,0.0,2241823986402000,29791321,4105904737,2614.635172169,122320326015387577
"0xc7fea89fef8f81b46e4286c1848d2859b5ae817f425604ae0dc24691c80cedc5",12965013,"2021-08-05 14:37:19+02",900442028441537410,137421926072474720,1110903414333525,2909974142250000,29751403,4619006575,2620.87824768,137421926072474725
"0xa84d3da48d62699c973b72d66ade9452fa88f81ff03d6ed8654037890d8b578c",12965014,"2021-08-05 14:37:32+02",628080053751468670,154402555946418880,0.0,6983167478784000,29716749,5195809136,2620.87824768,154402555946418864
"0x9daf6ec0567216ea31f368e22e879af91ae20aa32ec333196c19ff06f7f45099",12965015,"2021-08-05 14:37:37+02",659955209309867900,173570779540705696,0.0,5154757016220000,29698670,5844395710,2620.87824768,173570779540705700
"0xfef6bf88b6bcb26912219ecb8d896e4b3a94e1703cb265c071e21da638a7015e",12965016,"2021-08-05 14:37:41+02",462820069388590590,195028925160736192,31209115241627672,7593527480385000,29664528,6574482667,2620.87824768,195028925160736176
"0x96beec152e1745f608117ec0a9a08c00f6036ea16965910fc42d1ae24aa9711e",12965017,"2021-08-05 14:37:45+02",613881933121864060,219226255253428768,33628962707228772,13356251326194000,29643244,7395487999,2620.87824768,219226255253428756
"0x9903f9ad0f1a496d0dc5be33f1a54c4e94519d69f62cf544b34479de1a773497",12965018,"2021-08-05 14:37:52+02",520065908464360770,246893163019399840,28449229217593924,13976755976400000,29676451,8319497605,2620.87824768,246893163019399855
"0xdb63a4bced7c43b4c00366aa724fb8a5726eb7a4037868dd46ad83c787c83035",12965019,"2021-08-05 14:37:53+02",879405622641751300,277425433727582272,0.0,8844494700195000,29641833,9359253651,2620.87824768,277425433727582283
"0x5697f37ea86a87badb2d9061e9fc4b3c6749f87c553100e1fa9a0555562f4e1b",12965020,"2021-08-05 14:38:12+02",699643336142544000,311734772888790460,28218769479958848,12823727131236000,29608627,10528511602,2618.108418786,311734772888790454
"0x31f0a578f67e504d0ce4c0b91c72016e4129b3388da26a002ed0fdf30f7725d4",12965021,"2021-08-05 14:38:31+02",563872241706539140,351154550734574460,0.0,14425343052036000,29649641,11843467202,2618.108418786,351154550734574482
"0xd896114fc465d6217b94e9198de99502a990b3482756797a90ae3e2ee6dc1168",12965022,"2021-08-05 14:38:34+02",514227056243976510,395313673917850180,0.0,11751646420710000,29669601,13323862155,2618.108418786,395313673917850155
