"block_number","contract_address","base_fees","transaction_count","base_fees_256"
12965000,"0x0000000000085d4780b73119b644ae5ecd22b376",39944000000000,1.0,39944000000000
12965000,"0x0000006daea1723962647b7e189d311d757fb793",131205000000000,1.0,131205000000000
12965000,"0x031f40ed49047daff336ac54372816fe5e724a72",440282000000000,1.0,440282000000000
12965000,"0x03f7724180aa6b939894b5ca4314783b0b36b329",205281000000000,1.0,205281000000000
12965000,"0x043389f397ad72619d05946f5f35426a7ace6613",90079000000000,1.0,90079000000000
12965000,"0x043c308bb8a5ae96d0093444be7f56459f1340b1",27648000000000,1.0,27648000000000
12965000,"0x07306acccb482c8619e7ed119daa2bdf2b4389d0",257348000000000,1.0,257348000000000
12965000,"0x08bebeb5f042ccbaeb128582da560cb25a5db7e9",30462000000000,1.0,30462000000000
12965000,"0x0aacfbec6a24756c20d41914f2caba817c0d8521",46777000000000,1.0,46777000000000
12965000,"0x0ae055097c6d159879521c384f1d2123d1f195e6",43744000000000,1.0,43744000000000
12965000,"0x0b38210ea11411557c13457d4da7dc6ea731b88a",34602000000000,1.0,34602000000000
12965000,"0x0d8775f648430679a709e98d2b0cb6250d2887ef",29121000000000,1.0,29121000000000
12965000,"0x11111112542d85b3ef69ae05771c2dccff4faa26",112494000000000,1.0,112494000000000
12965000,"0x18084be33d80c3fdf6e7e7deab4a4e5e26657331",51625000000000,1.0,51625000000000
12965000,"0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2",5023811000000000,25.0,5023811000000000
12965000,"0x1bd435f3c054b6e901b7b108a0ab7617c808677b",227168000000000,1.0,227168000000000
12965000,"0x1c073d5045b1abb6924d5f0f8b2f667b1653a4c3",204211000000000,1.0,204211000000000
12965000,"0x1e0447b19bb6ecfdae1e4ae1694b0c3659614e4e",147336000000000,1.0,147336000000000
12965000,"0x1ec6b294902d42fee964d29fa962e5976e71e67d",383355000000000,1.0,383355000000000
12965000,"0x1f9840a85d5af5bf1d1762f925bdaddc4201f984",35318000000000,1.0,35318000000000
12965000,"0x20945ca1df56d237fd40036d47e866c7dccd2114",39293000000000,1.0,39293000000000
12965000,"0x23c5b71b37a49bd79392c63e168c082288726db2",170278000000000,1.0,170278000000000
12965000,"0x25121eddf746c884dde4619b573a7b10714e2a36",149191000000000,1.0,149191000000000
12965000,"0x26c8afbbfe1ebaca03c2bb082e69d0476bffe099",46483000000000,1.0,46483000000000
12965000,"0x283af0b28c62c092c9727f1ee09c02ca627eb7f5",357855000000000,2.0,357855000000000
12965000,"0x285f9802bccc0a18491ecf5fce6f7cb3bd5f4da9",44381000000000,1.0,44381000000000
12965000,"0x29baa9ebcce8552b030bc1138d5d64893018b329",26510000000000,1.0,26510000000000
12965000,"0x2c8652acbaba3d398952bd291b0baf29ba6f0ae8",90267000000000,1.0,90267000000000
12965000,"0x3137c4b48ddbb0d36cd2f8dc1a95c0be48693009",38883000000000,1.0,38883000000000
12965000,"0x3472a5a71965499acd81997a54bba8d852c6e53d",132721000000000,1.0,132721000000000
12965000,"0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1",40358000000000,1.0,40358000000000
12965000,"0x3b5d2b254224954547a33cbf753bcaa5eb4b27bd",1404361000000000,7.0,1404361000000000
12965000,"0x431ad2ff6a9c365805ebad47ee021148d6f7dbe0",37168000000000,1.0,37168000000000
12965000,"0x43b31c04bae2fe534ce324c6a5ac1f38fb8e09d8",91452000000000,1.0,91452000000000
12965000,"0x440238cc07186adea6653a2e8cb9a24737615609",240233000000000,1.0,240233000000000
12965000,"0x4691937a7508860f876c9c0a2a617e7d9e945d4b",34454000000000,1.0,34454000000000
12965000,"0x495f947276749ce646f68ac8c248420045cb7b5e",44072000000000,1.0,44072000000000
12965000,"0x49e833337ece7afe375e44f4e3e8481029218e5c",29931000000000,1.0,29931000000000
12965000,"0x4c11249814f11b9346808179cf06e71ac328c1b5",46254000000000,1.0,46254000000000
12965000,"0x4cc85e77a1bd8b847295029e9c6e108915de608d",167615000000000,5.0,167615000000000
12965000,"0x4dfb4534cf448cde1908941107c0fd7ea9a6294d",237450000000000,1.0,237450000000000
12965000,"0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b",46507000000000,1.0,46507000000000
12965000,"0x53f2b8cc450679d04c479a048dc3ff39a4d20d13",47512000000000,1.0,47512000000000
12965000,"0x5650ca3f0289c762f83dde1894faa9b6d0d89798",26925000000000,1.0,26925000000000
12965000,"0x574fc478bc45ce144105fa44d98b4b2e4bd442cb",61295000000000,1.0,61295000000000
12965000,"0x5a75a093747b72a0e14056352751edf03518031d",53775000000000,1.0,53775000000000
12965000,"0x5aa653a076c1dbb47cec8c1b4d152444cad91941",138128000000000,1.0,138128000000000
12965000,"0x5acc84a3e955bdd76467d3348077d003f00ffb97",183877000000000,1.0,183877000000000
12965000,"0x5edced358e6c0b435d53cc30fbe6f5f0833f404f",431537000000000,1.0,431537000000000
12965000,"0x5fdcca53617f4d2b9134b29090c87d01058e27e9",67722000000000,1.0,67722000000000
12965000,"0x6006421bb884027a0bea1597da3182df66d0ea07",71066000000000,2.0,71066000000000
12965000,"0x6771fd8968488eb590dff1730fe099c0efa415bf",204546000000000,1.0,204546000000000
12965000,"0x69af81e73a73b40adf4f3d4223cd9b1ece623074",34778000000000,1.0,34778000000000
12965000,"0x6c5ba91642f10282b576d91922ae6448c9d52f4e",37293000000000,1.0,37293000000000
12965000,"0x6d19b2bf3a36a61530909ae65445a906d98a2fa8",125637000000000,1.0,125637000000000
12965000,"0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24",42296000000000,1.0,42296000000000
12965000,"0x78befca7de27d07dc6e71da295cc2946681a6c7b",139864000000000,1.0,139864000000000
12965000,"0x7a250d5630b4cf539739df2c5dacb4c659f2488d",1360107000000000,10.0,1360107000000000
12965000,"0x7ae7ea19e5d5eed8964e1dafe6d610af9e98b79c",38883000000000,1.0,38883000000000
12965000,"0x7be8076f4ea4a4ad08075c2508e481d6c946d12b",2042595000000000,10.0,2042595000000000
12965000,"0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0",69044000000000,2.0,69044000000000
12965000,"0x7de91b204c1c737bcee6f000aaa6569cf7061cb7",29600000000000,1.0,29600000000000
12965000,"0x7e3abde9d9e80fa2d1a02c89e0eae91b233cde35",176932000000000,1.0,176932000000000
12965000,"0x7eb51e189348bf50484c19ef0378f2a2a411bc50",27048000000000,1.0,27048000000000
12965000,"0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9",98928000000000,1.0,98928000000000
12965000,"0x82f4ded9cec9b5750fbff5c2185aee35afc16587",46399000000000,1.0,46399000000000
12965000,"0x83e6f1e41cdd28eaceb20cb649155049fac3d5aa",37110000000000,1.0,37110000000000
12965000,"0x85ea56f9e45179be879c9f8a3a3e9bfbbe761839",214268000000000,1.0,214268000000000
12965000,"0x86704b803ee7ebe5dac52507607d4883beb6305d",71066000000000,2.0,71066000000000
12965000,"0x881d40237659c251811cec9c364ef91dc08d300c",506707000000000,3.0,506707000000000
12965000,"0x8b4d8443a0229349a9892d4f7cbe89ef5f843f72",763313000000000,1.0,763313000000000
12965000,"0x8e870d67f660d95d5be530380d0ec0bd388289e1",60389000000000,1.0,60389000000000
12965000,"0x92be6adb6a12da0ca607f9d87db2f9978cd6ec3e",229986000000000,1.0,229986000000000
12965000,"0x95de267b94130b1aa6dd664247433212b9a27286",700714000000000,2.0,700714000000000
12965000,"0x9c10aed865b63f0a789ae64041581eac63458209",92792000000000,1.0,92792000000000
12965000,"0x9d9f6f0ca56d2405bc9fd0478a1bf9e51ddc14bd",56410000000000,1.0,56410000000000
12965000,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48",49194000000000,1.0,49194000000000
